location,image_link-src,city
"31 N 5th St, Allentown, PA 18101",https://lh5.googleusercontent.com/p/AF1QipO8zCCmArW2xJImvnpjwOyqbiQVedz4v-KO0Hnr=w426-h240-k-no,Allentown
"Allentown, PA 18104",https://lh5.googleusercontent.com/p/AF1QipMuJ7iJLwhPlDAqWVy_zlrYTlSzgw5HmmJRVJyr=w408-h306-k-no,Allentown
"100 Day Island Rd, Eugene, OR 97401",https://lh5.googleusercontent.com/p/AF1QipNzhZy--MvvMh-HyCfEY2hixjNbXR7Bw3JaH0_A=w408-h306-k-no,Eugene
"2023 Stadium Dr #1A, Bozeman, MT 59715",https://lh5.googleusercontent.com/p/AF1QipMPjtdpHC3otqDzXlgmHJjHWgU8sWXKbC1xhwUU=w430-h240-k-no,Bozeman
"1330 Monmouth Ave, Cincinnati, OH 45225",https://lh5.googleusercontent.com/p/AF1QipMZ6osUsunLlJLjqOVOrl7RUyIbhxX13gvp5iuB=w408-h281-k-no,Cincinnati
"800 Key Hwy, Baltimore, MD 21230",https://lh6.googleusercontent.com/proxy/_XETbhjrpu5tws4dIPj_xmvTfpItFcv86LYR7Xs3ZsV9S6aCIlIXTrrOXMZxG98gqeMjJ9NzT6vZzPTnYTtRtOfPKwfH9sYuO1zCivBKMEUaQVqhJg1GMGDQfwBvNhbgIrrmHubbXTjcQzNknh8dFq_CqziExD8=w408-h282-k-no,Baltimore
"2410 N 32nd St, Muskogee, OK 74401",https://lh5.googleusercontent.com/p/AF1QipPXlhXMcVK1ZhUBiErbG0F6FI13p-xsG2VQhjAE=w426-h240-k-no,Muskogee
"2 E 4th St, New Castle, DE 19720",https://lh5.googleusercontent.com/p/AF1QipOLK1f7HgqSxe8dxrXqCi9FP8yj8Xa9_GZO8WxB=w408-h544-k-no,New Castle
"7700 Nicollet Ave, Richfield, MN 55423",https://lh5.googleusercontent.com/p/AF1QipNIOtW07B2YgapVxvWaaxSJEXcaezivcmRvK9t4=w426-h240-k-no,Richfield
"318 Spring Creek Rd, Rockford, IL 61107",https://lh5.googleusercontent.com/p/AF1QipMEliil6PJlvtm4RAQpUyoTIIVZuO_PdEy8WyXg=w408-h272-k-no,Rockford
"220 E Ann St, Ann Arbor, MI 48104",https://lh5.googleusercontent.com/p/AF1QipNALisD-zAm5THgrH4O6MwXcku8P96TUPwf7fWQ=w408-h301-k-no,Ann Arbor
"723 Second St, Annapolis, MD 21403",https://lh5.googleusercontent.com/p/AF1QipNa-XWCvW2GnRrJoc9_r_VIb9qCQoI8AHxg-KbV=w408-h306-k-no,Annapolis
"PIER 39 The Embarcadero &, Beach St, San Francisco, CA 94133",https://lh5.googleusercontent.com/p/AF1QipOIl2AQnyjBpKIgqHFlvUcGaLNsw2gGcRRFoBZu=w408-h306-k-no,San Francisco
"412-428 Cherry Way, Pittsburgh, PA 15219",https://lh5.googleusercontent.com/p/AF1QipMpfMHlzmMZ_XVe1R7BVB5LBYWoxPGHEMbE50wz=w505-h240-k-no,Pittsburgh
"102 S 10th St, Lafayette, IN 47905",https://lh5.googleusercontent.com/p/AF1QipPkWv5GaSKes7CVNPKCnjhDeVMRDjf5oPFgvBeU=w411-h240-k-no,Lafayette
"120 Sycamore Rd, Lexington, KY 40502",https://lh5.googleusercontent.com/p/AF1QipMnzQVChU-dPRoLZgNgs8mrq_etbz42h3k7duDW=w408-h306-k-no,Lexington
"970 Foxcroft Ave, Martinsburg, WV 25401",https://lh5.googleusercontent.com/p/AF1QipNNs9bcQSH3a6uaNtQZwCvhaXa2BFxPx69XvDo=w408-h306-k-no,Martinsburg
"637 E Hyman Ave, Aspen, CO 81611",https://lh5.googleusercontent.com/p/AF1QipMaRhqv4gPBF4Bty2vJXRmyZbTA1Htqbz9x0pbX=w408-h255-k-no,Aspen
"730 W Main St, Aspen, CO 81611",https://lh5.googleusercontent.com/p/AF1QipOhSkc7DLtQ3Yg9G91AF1emp4l2XilW8EmUJCzw=w408-h306-k-no,Aspen
"601 E Dean St, Aspen, CO 81611",https://lh5.googleusercontent.com/p/AF1QipO70P-CKDmwT8O4_-c01qiHoAzMHC1Igkim2IA0=w408-h306-k-no,Aspen
"201 Prince St, Alexandria, VA 22314",https://lh5.googleusercontent.com/p/AF1QipMwDC6FrQJRRnyEGrSXyi5IiSWlGqkul_bfQmLJ=w408-h296-k-no,Alexandria
"1345 Piedmont Ave NE, Atlanta, GA 30309",https://lh5.googleusercontent.com/p/AF1QipPIQyDNeB70SNrvQkVCPrNAZLXVRIcKdje4XZ1B=w408-h544-k-no,Atlanta
"2301 Boardwalk, Atlantic City, NJ 08401",https://lh5.googleusercontent.com/p/AF1QipNxUvyDJebegYhegCW23NHs-IyapJ1Pu81EzGZ_=w408-h306-k-no,Atlantic City
"1 Canal St, New Orleans, LA 70130",https://lh5.googleusercontent.com/p/AF1QipMxurDG1NaMdfVPipXcCf_V8nTZq6aRayAh19co=w408-h240-k-no-pi-0-ya23.163603-ro-0-fo100,New Orleans
"560 Reynolds St, Augusta, GA 30901",https://lh5.googleusercontent.com/p/AF1QipOQtlwhEWJ52e9eFkUETN1ZLdBU7TJsGq0NjRm-=w408-h306-k-no,Augusta
"10th St, Augusta, GA 30901",https://lh5.googleusercontent.com/p/AF1QipMAZM3f5WR4fKNyMhfLxGhlaNN7vHDZvKuX1MaA=w493-h240-k-no,Augusta
"100 W Mountain Ave, Fort Collins, CO 80524",https://lh5.googleusercontent.com/p/AF1QipOlrEOKVbTME-4EF-_T24Lg4DPjcDO_Pwb9BToO=w630-h240-k-no,Fort Collins
"4807 N Main St, Jacksonville, FL 32206",https://lh5.googleusercontent.com/p/AF1QipPNwHV6qC945CfmJdmqrF6BwSxXUQyg7ndjUDLm=w426-h240-k-no,Jacksonville
"1 Clay Square, Charleston, WV 25301",https://lh5.googleusercontent.com/p/AF1QipOx5pOvNR_obTKl5P2Sky5gYNseVQb2ceoJiefc=w408-h544-k-no,Charleston
"901 W Pratt St, Baltimore, MD 21223",https://lh5.googleusercontent.com/p/AF1QipONJiS1jCkFWAd-cNFihix8pb03oSt5aZ80qbeq=w408-h306-k-no,Baltimore
"3601 Thomas Rd, Baton Rouge, LA 70807",https://lh5.googleusercontent.com/p/AF1QipM_lQSo7DjW0XmS9jdulL8Tp84ej2HuUk7ygUw2=w408-h306-k-no,Baton Rouge
"745 7th Ave, Huntington, WV 25701",https://lh5.googleusercontent.com/p/AF1QipNM8VLHL_D_xuFSI7xqh_FbBd_Jmkn9qNxHCzy_=w425-h240-k-no,Huntington
"1213 Vine St, Cincinnati, OH 45202",https://lh5.googleusercontent.com/p/AF1QipPK2h2aplju5tK-w7qpJKXHMHTpWVB5m1YTRZix=w408-h306-k-no,Cincinnati
"San Diego, CA",https://lh5.googleusercontent.com/p/AF1QipP_QPgKBXbxWjQJDCiaTSYtSz5o3O5sCCixulTr=w408-h306-k-no,San Diego
"54 Tripp Dr, Bangor, ME 04401",https://lh5.googleusercontent.com/p/AF1QipOSrAAUIZnHQjSbrbYDeqZuWYfYnYRQAKNokIN1=w408-h306-k-no,Bangor
"126 Ann Uccello St, Hartford, CT 06106",https://lh5.googleusercontent.com/p/AF1QipOA7jfxNl6013WEezzkSUxp2AQvwF7ue51SIm-Z=w408-h306-k-no,Hartford
"6285 Snowden Ln, Southaven, MS 38672",https://lh5.googleusercontent.com/p/AF1QipPp-AJxifVrQ0HoSHHW2ZsVBuAwYF-DPpv0ysHv=w426-h240-k-no,Southaven
"84 Franklin St, Annapolis, MD 21401",https://lh5.googleusercontent.com/p/AF1QipP0V_n-VRhtMfFqDmj1THnKCf5mq0Ol6KB5fl2h=w408-h306-k-no,Annapolis
"3000 Avenue of the Chiefs, Pocatello, ID 83204",https://lh5.googleusercontent.com/p/AF1QipN1zj3RnBbCDJqXaWd2vH5Df99oggbd7VuMUedm=w408-h272-k-no,Pocatello
"209 Barclay Ln, Cherry Hill, NJ 08034",https://lh5.googleusercontent.com/p/AF1QipMvJClViZ-IpfjYfEZjwNKZQZ4g38tiHeoLZ8bU=w408-h543-k-no,Cherry Hill
"104 Beaucaire Ave, Camden, ME 04843",https://lh5.googleusercontent.com/p/AF1QipPcTHZJ9Lp2rpy55onp9i-I9ZkzTryYlDlwS9tU=w408-h306-k-no,Camden
"151 Brookdale Rd, Stamford, CT 06903",https://lh5.googleusercontent.com/p/AF1QipNAhkqGdQRoczYpz6jgQHdlgVId_E3DzJJPpgsI=w408-h306-k-no,Stamford
"Battery Park Extension, Burlington, VT 05401",https://lh5.googleusercontent.com/p/AF1QipPCnj7Bd0Hv3vp1O3GWZCyZwaz6uG1b6cp6uCzi=w408-h306-k-no,Burlington
"1313 Bay Beach Rd, Green Bay, WI 54302",https://lh5.googleusercontent.com/p/AF1QipO6k46xcM12zoOy_eq3KPxrDSiE4EfZhk9Z64ah=w408-h306-k-no,Green Bay
"301 Biscayne Blvd, Miami, FL 33132",https://lh5.googleusercontent.com/p/AF1QipM5yHQ_qRpVypzIqkZ-hPS7mH07-9odD3N6Pfsy=w426-h240-k-no,Miami
"6003 Memorial Dr, Houston, TX 77007",https://lh5.googleusercontent.com/p/AF1QipNvYg0_ivSjjPNYia2utbNQDGYkDnYf7OzBbF59=w408-h272-k-no,Houston
"401 Biscayne Blvd, Miami, FL 33132",https://lh5.googleusercontent.com/p/AF1QipM-Vq7uQTQd4Tikbp8sscdk8Sdw0zmcdoJqpYaM=w408-h306-k-no,Miami
"293 Gran Ellen Dr, Athens, GA 30606",https://lh5.googleusercontent.com/p/AF1QipPb_R0X6LQWaVGSNS0Cr8V5p9zhzpnsDFduNkEU=w408-h306-k-no,Athens
"Beavertail Rd, Jamestown, RI 02835",https://lh5.googleusercontent.com/p/AF1QipO1qdEOs1zMgDiFLUNfK0QouRnkx9TtBa3q_O2d=w408-h306-k-no,Cranston
"420 S Tryon St, Charlotte, NC 28202",https://lh5.googleusercontent.com/p/AF1QipNF7u-eH9Db6ZECes6GdAkgr4ZybwYzVXbfNtN5=w408-h273-k-no,Charlotte
"798 Beech Bend Park Rd, Bowling Green, KY 42101",https://lh5.googleusercontent.com/p/AF1QipN3cdtraYnZ8HdLGY5JpzDsvKXQE8DePoTe5FlM=w408-h478-k-no,Bowling Green
"316 Beech Hill Rd, Rockport, ME 04856",https://lh5.googleusercontent.com/p/AF1QipO7iL006fgWVg73xLJscT_PTUVTR2g1Ks3Ozrz9=w408-h306-k-no,Camden
"2800 Colorado St, Lake Station, IN 46405",https://lh5.googleusercontent.com/p/AF1QipP-7xF2gxaZTJTDtHWcmJ9Vr4KG-I93rNiWf9zh=w408-h306-k-no,Gary
"3600 S Las Vegas Blvd, Las Vegas, NV 89109",https://lh5.googleusercontent.com/p/AF1QipNvJYDK6BIXup5Oep3CiorE29dbqSFYjQGq_c85=w408-h306-k-no,Las Vegas
"126 E Race St, Martinsburg, WV 25401",https://lh5.googleusercontent.com/p/AF1QipPArKgKP2v6WcIvzBY6jEHbQ0EsIruqAqehLp8G=w426-h240-k-no,Martinsburg
"3146 Mission Blvd, San Diego, CA 92109",https://lh5.googleusercontent.com/p/AF1QipOU6D5LqHva94lW5AIt6AtuMrbw8-b0CKKFNhg=w408-h272-k-no,San Diego
"New York, NY 10024",https://lh5.googleusercontent.com/p/AF1QipMv-2ghE4M5qUqE0FjVWGlnpsYIzY6n5kIFiD9g=w408-h272-k-no,New York
"1199 Valencia St, San Francisco, CA 94110",https://lh5.googleusercontent.com/p/AF1QipPpz_Un_g1r1DWbSCHGCwabax3XZDL2ohWpREFW=w408-h272-k-no,San Francisco
"2 S Washington St, Berkeley Springs, WV 25411",https://lh5.googleusercontent.com/p/AF1QipNreHZ25_Of5Qx3xhK6S4F_zJ7mWg8CEpn4T6c4=w426-h240-k-no,Martinsburg
"2700 Bever Ave SE, Cedar Rapids, IA 52403",https://lh5.googleusercontent.com/p/AF1QipPtbbafG4vmKhtn8FH0rXTEnYUC28XVXuxx5hU=w408-h306-k-no,Cedar Rapids
"1107 Washington St, Vicksburg, MS 39183",https://lh5.googleusercontent.com/p/AF1QipOg8Z7yranpVv7-5lYq8Uv2LixXrgT1_hxbSXgq=w426-h240-k-no,Vicksburg
"3380 Beaver Rd, Union, KY 41091",https://lh5.googleusercontent.com/p/AF1QipMsnK_pDDSywa9DRTgHVqLVWsGYxayi_e5crUxj=w408-h299-k-no,Florence
"406 Federal St, Dover, DE 19901",https://lh5.googleusercontent.com/p/AF1QipNhgK8s79EJnE8MfJ4Cuo7ZYRvqnIpNvHu11Idl=w408-h408-k-no,Dover
"69 Old River Rd, Woodstock, VT 05091",https://lh5.googleusercontent.com/p/AF1QipN62szdMuGH5Yn86CLWfbjs2XabChzHo9_j05PS=w408-h272-k-no,Woodstock
"5840 Rainbow Dr, Jefferson City, MO 65109",https://lh5.googleusercontent.com/p/AF1QipMW2xlAXHTGIzGuALITWfOn20F3Kf2He9TOWC80=w427-h240-k-no,Jefferson City
"2300 Expedition Way, La Jolla, CA 92037",https://lh5.googleusercontent.com/p/AF1QipNYcYkAOD9o0bgTtKSYqnlWwy83KVcA3B1Ya3j3=w408-h306-k-no,San Diego
"1525 Bernice St, Honolulu, HI 96817",https://lh5.googleusercontent.com/p/AF1QipNI6WQ4eBr-A81WGQ3ylfwlCh3zlkNkXkegCe5V=w408-h306-k-no,Honolulu
"2323 S Virginia St, Reno, NV 89502",https://lh5.googleusercontent.com/p/AF1QipNMG71zENx3hGlwQzNhhBKEh8ug_QxghVqhe-kZ=w408-h306-k-no,Reno
"1245 S Main St, St. George, UT 84770",https://lh5.googleusercontent.com/p/AF1QipM8lIeULUW4EK9vx6q7g8xiCm-C9USM8baqj2ld=w408-h272-k-no,St. George
"14500 W 151st St, Olathe, KS 66062",https://lh5.googleusercontent.com/p/AF1QipNebHT4Ejhm2GmwHQ_x7w99fR5JonmqXCz5gtWS=w408-h306-k-no,Olathe
"209 E Walnut St, Springfield, MO 65806",https://lh5.googleusercontent.com/p/AF1QipN_YPVGCijuAg19KY2COItmadte8gAVQhDxLK6c=w408-h306-k-no,Springfield
"4055 N Chestnut Diagonal, Fresno, CA 93726",https://lh5.googleusercontent.com/p/AF1QipPn32tp6N-ss0lXMKIrr25R8k4jLr4BQ9Z60ntB=w408-h544-k-no,Fresno
"5750 Oakland Mills Rd, Columbia, MD 21045",https://lh5.googleusercontent.com/p/AF1QipMaS4HHW9q9kzARtswQpyI9rO_PQ5n4sTfUJLsm=w426-h240-k-no,Columbia
"7401 SW 9th St, Des Moines, IA 50315",https://lh5.googleusercontent.com/p/AF1QipMXqqtGUPZ67OGUW4BS2QKo5WYMbEroDZ_9FnDf=w426-h240-k-no,Des Moines
"200 E Martin Luther King Jr Blvd, Austin, TX 78712",https://lh5.googleusercontent.com/p/AF1QipOfKRADe1L43wEpoYKLKjtSepgfB5G-zmUghoxI=w408-h306-k-no,Austin
"1611 Farnam St, Omaha, NE 68106",https://lh5.googleusercontent.com/p/AF1QipPHGDo2kt_jZgNJu5LR3oHuyWA14dbbkDsfqzxh=w408-h306-k-no,Omaha
"3030 SW Wanamaker Rd, Topeka, KS 66614",https://lh5.googleusercontent.com/p/AF1QipPj-gxwOSNclPgChuDLlLIS6nNyvYtbmpwIchhg=w408-h272-k-no,Topeka
"705 Riverfront Dr, Omaha, NE 68102",https://lh5.googleusercontent.com/p/AF1QipP7uJFqk8oiLMJyL9lC1Ckawvu_Vvz2NhBmwiq9=w408-h306-k-no,Omaha
"670 Julia Davis Dr, Boise, ID 83702",https://lh5.googleusercontent.com/p/AF1QipOQ2NB4gBVIP3hGsoBKEazUsra3pbh6L57iX6ir=w408-h279-k-no,Boise
"2591 Whitehall Neck Rd, Smyrna, DE 19977",https://lh5.googleusercontent.com/p/AF1QipOvCHRfTPjBh1wgQBfjri7iF_9DxalHpYCVAY0h=w408-h272-k-no,Middletown
"1211 W Pinhook Rd, Lafayette, LA 70503",https://lh5.googleusercontent.com/p/AF1QipOxjtZpkq4T3GkId-SXb-1lbOjYhEOqKowX_AhX=w408-h408-k-no,Lafayette
