,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
144,Tennessee Aquarium,4.7,tnaqua.org,"1 Broad St, Chattanooga, TN 37402",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,//lh6.googleusercontent.com/proxy/-2arM1YhzmO8bU0AfQvLN32DkyZb--fnM3o0_-UKyHXvLbtLTfBzGSjB8RPljijZc7Uem8_SJ-0Mp1xhNHF0DYEVATcWZ1B4z8dS9PLuryUezBSVoke_v5l85-IJlgUSjKUKInRamqEA_5zHl81K_ZBh5gL6yr8=w408-h272-k-no,"Waterfront complex with sea & river animals, birds & butterflies, plus interactive shows & cruises.","Situated on the Tennessee River in downtown Chattanooga, TN, the Tennessee Aquarium is home to 10,000 animals and an IMAX theater. Plan your visit today!",35.0559883,-85.31014809999999
145,The Chattanooga Zoo at Warner Park,4.4,chattzoo.org,"301 N Holtzclaw Ave, Chattanooga, TN 37404",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipO4k1g4nPiEsglxgKqHfzUXKSuC1cklaI-0xjb0=w408-h271-k-no,This educational wildlife park houses a large collection of species from around the globe.,,35.0426507,-85.282129
146,The Codington County Heritage Museum,4.7,cchsmuseum.org,"27 1st Ave SE, Watertown, SD 57201",Accessibility    Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMI2ORO0Plt5RdaRmDqFOoOpNJ3VL9dhBg27cdL=w408-h291-k-no,Museum in a 1906 library featuring permanent & temporary exhibitions about town & county history.,,44.8992294,-97.1134573
147,The Cozzy Corner,4.4,thecozzycorner1.com,"111 N Walnut St, Appleton, WI 54911",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating,Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipObWXNVDyjz86fwg_0LZZR5nq6bSOgO7CL3samT=w408-h306-k-no,"Cozy Southern restaurant serving BBQ plates, wings & fried chicken amid blues music & murals.","Soul Food, BBQ, Ribs, Catfish, Fried Chicken",44.2621999,-88.41226950000001
148,The History Museum at the Castle,4.3,myhistorymuseum.org,"330 E College Ave, Appleton, WI 54911",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMDtxlgdEftw-w9Ykp9EztnB0ckN9t-0x60E8e5=w408-h306-k-no,Converted Masonic temple houses exhibits on Houdini & other significant Fox Valley people & events.,"At the History Museum, we continually seek to inspire people to discover and appreciate the rich history of the Fox Valley through exhibition, education, and collections. In this way, our staff members foster community partnerships that build social cohesion and meet local challenges. Doing so expands expectations for what a history museum, and our community, can be. ",44.2621785,-88.40141460000001
149,The Mad Taco,4.3,themadtaco.com,"72 Main St, Montpelier, VT 05602",Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipMDLgw8qrI6KXjmuRv1gC-MmUkjDNf71c5oZfNU=w408-h305-k-no,"Mexican & modern Latin eats are served with hot sauces & craft beers in a relaxed, funky setting.","Taste Central Vermont's finest Mexican food, plus craft beer, handcrafted 
hot sauces, house-smoked meats and more. Come see us in Waitsfield, Essex 
or Montpelier.",44.2599171,-72.5756825
150,The Parthenon,4.6,nashvilleparthenon.com,"2500 West End Ave, Nashville, TN 37203",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipM34FpFRYiCwVBl-MQqrrGF753d-WzA7XqTl0fH=w426-h240-k-no,"Built in 1897, this full-scale replica of the Athenian Parthenon also houses American art galleries.","The Parthenon stands proudly as the centerpiece of Centennial Park, 
Nashville's premier urban park. The re-creation of the 42-foot statue 
Athena is the focus of the Parthenon just as it was in ancient Greece. The 
building and the Athena statue are both full-scale replicas of the Athenian 
originals.",36.1494148,-86.812823
151,The Yellow Deli,4.6,yellowdeli.com,"23 Center St, Rutland, VT 05701",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNlRNi3hi-T0FGGJS5ifgnVngNr3VtLerr4aeJf=w408-h306-k-no,"Deli offering sandwiches, salads & breakfast, plus a juice bar mixing up smoothies & other drinks.",,43.6067268,-72.9789725
152,Thunder Road of Sioux Falls,4.5,thunderroadsiouxfalls.com,"201 N Kiwanis Ave, Sioux Falls, SD 57104",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipOJUK5668WF2L3ErFrIv3bsMVCEBtagrVQsYn1r=w408-h306-k-no,"Fun park & mini-golf course offering go-karts, thrill rides, laser tag & other kid friendly games.","We have two go-kart tracks, an 18 hole adventure mini-golf course, batting cages, climbing wall, human foosball, Euro Bungy, and Water Wars.",43.5489316,-96.7617787
153,Thunder Road,4.7,thunderroadvt.com,"61 Fisher Rd, Barre, VT 05641",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,,https://lh5.googleusercontent.com/p/AF1QipPfwlClAwQkF3BLwDzxMIoWbcgIRfuUe8Hksuvo=w408-h306-k-no,"Quarter-mile, paved car-racing speedway, home of the annual ""Milk Bowl"" Late Model race.",,44.1798378,-72.4877613
154,Undine Park,4.5,cityoflaramie.org,"800-898 S 7th St, Laramie, WY 82070",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNU-baxC94YyIohVYbgxMsAskjgmZoJNL5MEPTd=w426-h240-k-no,"Neighborhood park with picnic shelters & BBQs, plus facilities for tennis, volleyball & basketball.",,41.30533,-105.5903077
155,Vermont Historical Society Museum,4.5,vermonthistory.org,"109 State St, Montpelier, VT 05609",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNYfdudS1nJ8LxkGCX1m4HfENvi2cMmpGP4oEMA=w408-h306-k-no,"Museum featuring an acclaimed multimedia exhibit on Vermont's history, along with a gift shop.",Vermont Historical Society,44.261321,-72.579589
156,Vermont Ski and Snowboard Museum,4.9,vtssm.org,"1 S Main St, Stowe, VT 05672",,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipOAP0cebRfbVef3btvMiSsygf4yYTWk73MrjcXX=w408-h306-k-no,"Founded in 1988, this history museum offers exhibits of ski/snowboard equipment, clothing & artwork.","The Vermont Ski & Snowboard Museum in Stowe, Vermont, is the ideal 
destination for anyone interested in the history of skiing and riding in 
Vermont.",44.46543279999999,-72.687422
157,Vermont State House,4.6,statehouse.vermont.gov,"115 State St, Montpelier, VT 05633",Accessibility    Wheelchair accessible entrance,,https://lh5.googleusercontent.com/p/AF1QipPXtFxoRIxqWF-Ri5sI0tlbBo3qun0H1dVY90-I=w408-h272-k-no,"Restored Greek Revival state capitol with a historic art collection, offering free guided tours.",,44.2626431,-72.58053439999999
158,Virginia Air & Space Science Center,4.4,vasc.org,"600 Settlers Landing Rd, Hampton, VA 23669",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOFYGieL4q8AvF5ObJ63SpEuCSsYZQ9Wi6Gi9xa=w408-h306-k-no,"Movie theater chain known for presenting 3D films on a giant screen, including blockbusters.",,37.0240853,-76.3441011
159,Virginia Zoo,4.5,virginiazoo.org,"3500 Granby St, Norfolk, VA 23504",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOPKcxO_-oG2JOegYeMXh20RfcxT9Jb0K4Ebwgh=w408-h306-k-no,"An African exhibit boasts lions, elephants & rhino with another 400 animals spread over 53 acres.",,36.878726,-76.2783724
160,Virtue Feed & Grain,4.5,virtuefeedgrain.com,"106 S Union St, Alexandria, VA 22314",Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot,Amenities    Bar onsite   High chairs   Restroom,https://lh5.googleusercontent.com/p/AF1QipP0PatR1N8Yg4WEWYIDWzDMPp2BsF3ffSVff5_H=w408-h306-k-no,"In a revamped 18th-century granary, this hip tavern offers elevated pub grub & a lively bar scene.",,38.8037815,-77.0400525
161,Waterfront Park,4.7,enjoyburlington.com,"20 Lake St, Burlington, VT 05401",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOQroLkVw4582r-za6NrYhT99Ntr4xrxKDE3X9Q=w408-h306-k-no,"Community park on the lake featuring a boardwalk, sailing lessons & kayak & canoe rentals.",,44.4795047,-73.2218109
162,Werner Wildlife Museum at Casper College,4.7,caspercollege.edu,"405 E 15th St, Casper, WY 82601",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipN3Kk0nDJ0Vfmzv3qBKpiIgAK5xS6ZEF9-g_EU3=w408-h306-k-no,"Free Casper College museum with family-friendly wildlife exhibits, tours & educational programs.","Located in Wyoming, Casper College is one of the largest and most comprehensive community colleges in the region.",42.83514,-106.3204886
